Pesquisa Aleatória,Subida da Encosta,Subida da Encosta + Pesquisa Aleatória,Têmpera Simulada,Algoritmo Genético
4,19,3,11,5
2,17,4,5,6
4,15,3,7,3
3,15,4,7,6
5,13,4,14,5
3,8,5,13,4
4,14,2,13,4
4,13,2,13,4
2,14,2,8,5
2,16,4,17,4
5,11,4,12,7
3,13,4,19,3
2,17,4,13,5
4,14,3,10,2
2,15,2,20,4
4,17,2,12,5
2,11,2,9,3
3,15,5,15,4
5,15,4,9,8
5,23,5,14,5
3,6,2,10,5
2,14,2,8,4
5,13,2,11,4
2,6,4,6,4
4,12,4,7,4
4,13,4,10,4
4,18,4,16,2
4,8,3,12,6
2,10,3,14,4
2,12,4,11,4
3,14,5,16,4
4,13,3,4,2
4,15,4,12,4
3,7,4,15,5
4,7,4,16,2
4,15,3,9,5
2,17,3,17,4
3,16,3,9,7
5,12,2,10,5
2,7,5,8,4
2,9,6,14,4
2,15,3,13,8
4,8,6,19,2
4,17,4,16,4
4,15,4,16,2
5,19,3,10,5
4,14,2,7,4
4,13,3,8,4
3,19,3,9,4
2,13,5,16,7
2,18,5,11,4
2,20,4,12,5
3,8,3,7,7
4,18,4,16,4
2,10,4,14,2
4,15,4,16,5
3,9,4,16,4
3,8,3,9,8
4,11,2,9,4
5,12,3,11,7
4,9,4,10,4
3,8,4,12,5
4,15,2,12,4
2,13,4,12,4
5,8,3,13,5
4,18,4,10,5
4,11,4,7,4
5,13,3,14,4
2,17,4,16,5
2,22,4,9,8
3,13,5,11,2
3,14,4,13,7
4,15,4,10,2
3,24,4,14,5
4,9,5,13,8
4,11,4,8,2
2,17,4,13,4
3,16,4,13,4
3,15,2,4,3
2,5,4,9,2
4,7,4,10,2
2,17,4,15,2
4,8,2,17,4
4,18,3,13,3
4,16,3,8,5
4,11,2,8,4
4,18,2,12,4
4,17,5,11,7
2,14,3,9,4
5,5,4,10,7
5,11,4,12,2
4,11,4,10,3
4,10,2,8,4
4,15,3,15,5
2,22,4,15,4
5,14,4,6,4
4,13,4,15,6
3,8,6,11,2
4,13,4,11,2
4,10,5,13,4
