Pesquisa Aleatória,Subida da Encosta,Subida da Encosta + Pesquisa Aleatória,Têmpera Simulada,Algoritmo Genético
3865,3628,2893,4871,2939
3767,4350,2656,3447,2896
3781,3462,2875,3104,2892
3484,3221,2656,3169,3164
3837,4291,2874,3734,2902
3668,3558,2759,4178,2811
3250,5090,2969,3407,3430
3500,4455,2777,3963,3240
3996,4391,3159,4015,3052
3256,3614,2867,3521,2697
3773,4718,2887,4447,2725
3864,4342,2533,3483,2823
3271,5394,2960,3482,2941
3663,4559,2933,4717,2913
3778,6946,2652,4001,2957
3770,3833,2782,3190,2868
3772,3154,2560,4729,2811
3748,3812,2687,4552,2718
3449,4181,2760,4009,3090
3610,4567,2652,4126,3198
3763,3496,3565,4116,3108
3759,3419,2652,3427,3206
3658,4470,2711,3824,2919
3671,3720,2996,3862,2459
3807,4175,3189,3950,2840
3388,4198,3094,3383,3687
3660,5986,2838,4040,3007
3720,4918,2745,4030,2802
3423,4868,3408,3653,2892
3822,3479,2560,3371,2892
3578,3527,2840,4212,3170
3751,6239,2973,3777,3378
3727,5246,3215,3908,3282
3650,4168,2824,3312,3516
3555,4474,2940,3607,2792
3359,4102,2780,3233,3344
3718,4911,3018,3467,3102
3450,5228,2697,2917,2677
3838,3033,2456,3266,3199
3736,3796,2559,4065,2810
3727,4340,2356,3702,2858
3822,3943,3232,3994,3004
3843,3334,3185,4060,2811
3552,3763,2806,3666,2711
3702,3988,2858,3280,2704
3742,3544,2609,3452,2996
3798,4443,3209,4256,3043
3279,5626,2990,2792,2893
3970,3050,3421,3106,3194
3707,4656,3190,4293,2725
3609,5142,3088,3380,3175
3719,4335,2602,3283,2745
3511,2996,3142,3810,2677
3714,4104,2819,3637,3420
3397,6178,3024,3947,3081
3666,4932,2604,3680,2715
3785,3665,2828,3780,3539
3335,3582,2854,3536,2768
3687,5074,3021,3574,2959
3328,3080,3418,3791,2995
3608,5171,2693,3469,3233
3686,4889,2840,4474,2909
3801,4216,3125,4062,2897
3751,3258,3061,3219,2736
3772,4905,2820,2780,2404
3691,5035,3049,3464,2748
3606,4499,2692,3601,2906
3519,5263,2817,3413,3007
3783,3430,3030,3282,2700
3251,4344,2890,3169,2459
3532,2956,2842,3514,2993
3667,4901,2951,3160,3008
3744,4771,2947,4289,2533
3624,3201,3022,3624,2356
3860,4761,2749,3136,3019
3699,5150,2618,3924,2554
3603,3752,2887,4504,3059
3551,4844,2919,3668,3033
3931,4205,2970,3556,2854
3621,4537,2909,3333,2761
3473,4161,2854,2815,3031
3747,4536,2810,3263,3080
3566,3641,2982,3605,3231
3410,3845,2456,4978,2780
3349,3970,2967,3973,2711
3509,4518,2809,3461,2725
3578,4960,2947,3406,3208
3628,6607,3032,4018,2716
3808,3805,2798,3725,2677
3669,5481,2754,3537,2930
3329,4165,2992,3887,3373
3826,3393,3256,3944,3056
3691,4730,2545,3874,3038
3659,4528,2980,3426,2995
3804,3753,3302,3419,2857
3490,3441,2459,3969,2404
3640,4125,2404,2777,3061
3827,4395,3274,3650,3364
3563,5849,2742,3578,3067
3730,6574,3497,3903,2780
